sceneNumber, candidateName, rule, contextSnippet
1,CLOSE ON,SPEAKER_ABOVE_DIALOGUE,"CLOSE ON / A guest room door, with a small, wired pack attached to its"
1,WITH CLARICE,SPEAKER_ABOVE_DIALOGUE,"WITH CLARICE - MOVING SHOT / as she runs around a corner, through a cloud of smoke. She"
2,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Freeze! FBI!"
2,THE SUSPECT'S HANDS,SPEAKER_ABOVE_DIALOGUE,"THE SUSPECT'S HANDS / are taped to his gun, away from the trigger; he couldn't use"
2,PULLING BACK,SPEAKER_ABOVE_DIALOGUE,"PULLING BACK / we see that we're in some sort of auditorium, with the ""hotel"
2,BRIGHAM,SPEAKER_ABOVE_DIALOGUE,"BRIGHAM / Starling's reaction time was"
2,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Damn, Clarice, how'd you make me?"
2,SPECIAL AGENT JACK CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"SPECIAL AGENT JACK CRAWFORD / sits on the top step of the aisle, looking down at her. He"
3,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / Starling, Clarice M., good morning."
3,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Good morning, Mr. Crawford."
4,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / You know, we get a lot of detectives"
4,NEW ANGLE,SPEAKER_ABOVE_DIALOGUE,"NEW ANGLE - REVEALS CLARICE / now wearing a more feminine skirt suit. Hair neatly coiled,"
4,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I'm sure it's a great town, Dr."
5,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Lecter carved up nine people - that"
5,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / How do you mean, Dr. Chilton?"
6,CHILTON,SPEAKER_ABOVE_DIALOGUE,"CHILTON / Do not reach through the bars, do"
6,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / I understand."
6,BARNEY,SPEAKER_ABOVE_DIALOGUE,"BARNEY / Hi, I'm Barney. He told you, don't"
7,DARK FIGURE,SPEAKER_ABOVE_DIALOGUE,"DARK FIGURE / I c-can sssmell your cunt!"
7,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Dr. Lecter... My name is Clarice"
7,MIGGS,SPEAKER_ABOVE_DIALOGUE,"MIGGS / I b-bit my wrist so I c-can diiiieeee!"
8,HER CAR,SPEAKER_ABOVE_DIALOGUE,"HER CAR / an old Pinto, parked nearby. This image begins to BLUR..."
8,CLOSE ON,SPEAKER_ABOVE_DIALOGUE,"CLOSE ON / her face, fighting tears, as the CAMERA begins to WHIRL AROUND"
8,IN FLASHBACK,SPEAKER_ABOVE_DIALOGUE,"IN FLASHBACK / a screen door banging open, on a wooden porch, and a 10-year"
8,THE YOUNG CLARICE,SPEAKER_ABOVE_DIALOGUE,"THE YOUNG CLARICE / rushes into them, and he sweeps her up in a hug, spinning"
8,THE ADULT CLARICE,SPEAKER_ABOVE_DIALOGUE,"THE ADULT CLARICE / alone in the parking lot, sagging against her car. Her face"
9,A MOVING TARGET,SPEAKER_ABOVE_DIALOGUE,"A MOVING TARGET / The silhouette of a man, approaching along a track. Her shots,"
10,ARDELIA,SPEAKER_ABOVE_DIALOGUE,"ARDELIA / Phone call, Clarice. It's God."
10,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / Thanks, Ardelia."
10,MOVING ANGLE,SPEAKER_ABOVE_DIALOGUE,"MOVING ANGLE / as Clarice rises, grabbing her notebook, and follows Ardelia"
11,CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"CRAWFORD / I've read your interim memo on Lecter."
11,CLARICE,SPEAKER_ABOVE_DIALOGUE,"CLARICE / It's all there, sir, practically"
11,ANGLE ON CLARICE,SPEAKER_ABOVE_DIALOGUE,"ANGLE ON CLARICE / as we hear the loud CLICK of Crawford hanging up. She stares"
11,ANGLE ON CRAWFORD,SPEAKER_ABOVE_DIALOGUE,"ANGLE ON CRAWFORD / as he flips aside her memo, then rises, wearily. He leaves"
